movie_id,title,cast,genres,tags
tt0255111,Dhadkan,"Akshay Kumar, Shilpa Shetty Kundra, Suniel Shetty, Mahima Chaudhry","['drama', 'romance']","['Anjali', 'and', 'Dev', 'are', 'in', 'love', 'and', 'plan', 'to', 'marry,', 'but', 'her', 'family', 'gets', 'her', 'married', 'to', 'Ram.', 'Years', 'later,', 'Dev', 'shows', 'up', 'to', 'reunite', 'with', 'Anjali,', 'who', 'has', 'managed', 'to', 'fall', 'in', 'love', 'with', 'her', 'husband.', 'drama', 'romance', 'drama', 'romance', 'akshaykumar', 'shilpashettykundra', 'sunielshetty', 'mahimachaudhry', 'dharmeshdarshan']"
tt27930156,I Love You,"Rakul Preet Singh, Pavail Gulati, Akshay Oberoi, Kiran Kumar","['drama', 'romance', 'thriller']","['Sathya', 'is', 'a', 'highly', 'successful', 'corporate', 'executive', 'who', 'look', 'forward', 'to', 'a', 'bright', 'future', 'with', 'her', 'fiance,Vishal.One', 'night', ',when', 'she', 'is', 'about', 'to', 'board', 'a', 'fight', 'to', 'Delhi,', 'Satya', 'finds', 'herself', 'trapped', 'within', 'the', 'office', '.What', 'danger', 'awaits', 'her?', 'drama', 'romance', 'thriller', 'drama', 'romance', 'thriller', 'rakulpreetsingh', 'pavailgulati', 'akshayoberoi', 'kirankumar', 'nikhilmahajan']"
tt1183946,The Stoneman Murders,"Kay Kay Menon, Arbaaz Khan, Rukhsar Rehman, Veerendra Saxena","['crime', 'drama', 'mystery']","['In', '1980s', 'Bombay,', 'a', 'serial', 'killer', 'starts', 'targeting', 'homeless', 'street', 'dwellers,', 'whilst', 'a', 'suspended', 'police', 'officer', 'attempts', 'to', 'solve', 'the', 'case.', 'crime', 'drama', 'mystery', 'crime', 'drama', 'mystery', 'kaykaymenon', 'arbaazkhan', 'rukhsarrehman', 'veerendrasaxena', 'manishgupta']"
tt9325680,Lomad,"Hemwant Tiwari, Auroshikha Dey, Parimal Aloke, Tirrtha Murbaadkar","['crime', 'drama', 'thriller']","['This', 'SINGLE', 'SHOT', 'film', 'describes', 'that', 'there', 'is', 'a', 'stranger', 'within', 'all', 'of', 'us', 'that', 'comes', 'out', 'at', 'an', 'unknown', 'place', 'and', 'in', 'an', 'unusual', 'time.', 'crime', 'drama', 'thriller', 'crime', 'drama', 'thriller', 'hemwanttiwari', 'auroshikhadey', 'parimalaloke', 'tirrthamurbaadkar', 'hemwanttiwari']"
tt0043306,Awaara,"Raj Kapoor, Nargis, Prithviraj Kapoor, K.N. Singh","['drama', 'musical', 'romance']","['A', 'poor', 'young', 'man', 'named', 'Raj', 'joins', 'a', 'criminal', 'gang', 'to', 'feed', 'his', 'mother.', 'But', 'when', 'he', 'falls', 'in', 'love', 'with', 'Rita,', 'he', 'decides', 'to', 'reform', 'himself', 'for', 'her.', 'drama', 'musical', 'romance', 'drama', 'musical', 'romance', 'rajkapoor', 'nargis', 'prithvirajkapoor', 'k.n.singh', 'rajkapoor']"
tt10062556,Bhuj: The Pride of India,"Ajay Devgn, Sanjay Dutt, Sonakshi Sinha, Sharad Kelkar","['action', 'drama', 'history']","['During', 'the', 'Indo-Pakistani', 'War', 'of', '1971,', 'the', 'Bhuj', 'airbase', 'is', 'attacked', 'and', 'a', 'race', 'against', 'time', 'begins', 'to', 'rebuild', 'the', 'damaged', 'airstrip.', 'action', 'drama', 'history', 'action', 'drama', 'history', 'ajaydevgn', 'sanjaydutt', 'sonakshisinha', 'sharadkelkar', 'abhishekdudhaiya']"
tt11102314,Tribhanga,"Kajol, Tanvi Azmi, Mithila Palkar, Kunaal Roy Kapur","['drama', 'family']","['The', 'lives', 'of', 'three', 'women', 'spanning', 'the', 'late', '1980s', 'to', 'present', 'day', 'and', 'underscores', 'the', 'value', 'of', 'family', 'in', 'everyday', 'life.', 'drama', 'family', 'drama', 'family', 'kajol', 'tanviazmi', 'mithilapalkar', 'kunaalroykapur', 'renukashahane']"
tt8491220,Kuch Pal Pyar Ke,"Aamir, Tejas Gadhvi, Aamir Ghani, Zoya Rathore",['drama'],"['Kuch', 'Pal', 'Pyar', 'Ke', 'is', 'a', '2018', 'Indian', 'Hindi', 'film,', 'directed', 'by', 'V.H.', 'Kumar.', 'The', 'film', 'stars', 'Aamir', 'and', 'Zoya', 'in', 'lead', 'roles.', 'The', 'film', 'has', 'musical', 'score', 'by', 'Aniket', 'Trivedi.', 'drama', 'drama', 'aamir', 'tejasgadhvi', 'aamirghani', 'zoyarathore', 'viralh.patel']"
tt0824316,Dor,"Ayesha Takia, Shreyas Talpade, Gul Panag, Girish Karnad",['drama'],"['Two', 'woman', '--different', 'backgrounds,', 'miles', 'apart,', 'and', 'strangers', 'to', 'each', 'other--', 'are', 'linked', 'by', 'tragedy.', 'Their', 'new-found', 'friendship', 'is', 'tested', 'as', 'one', 'holds', 'the', 'fate', 'of', 'the', ""other's"", 'husband', 'in', 'her', 'hands.', 'drama', 'drama', 'ayeshatakia', 'shreyastalpade', 'gulpanag', 'girishkarnad', 'nageshkukunoor']"
tt0123102,Hero,"Sanjeev Kumar, Shammi Kapoor, Jackie Shroff, Meenakshi Sheshadri","['action', 'drama', 'romance']","['After', 'his', 'friend', 'is', 'imprisoned,', 'a', 'hitman', 'kidnaps', 'the', 'daughter', 'of', 'the', 'police', 'commissioner', 'by', 'telling', 'her', 'that', 'he', 'is', 'a', 'police', 'officer.', 'action', 'drama', 'romance', 'action', 'drama', 'romance', 'sanjeevkumar', 'shammikapoor', 'jackieshroff', 'meenakshisheshadri', 'subhashghai']"
tt0098976,Aaj Ka Arjun,"Amitabh Bachchan, Jaya Prada, Radhika Sarathkumar, Suresh Oberoi","['action', 'crime', 'drama']","['Bhim', 'Singh', 'is', 'an', 'orphan', 'who', 'lives', 'a', 'poor', 'life-style', 'in', 'a', 'small', 'community.', 'He', 'is', 'the', 'guardian', 'to', 'his', 'only', 'sister,', 'Laxmi,', 'who', 'he', 'has', 'educated', 'in', 'the', 'city,', 'she', 'meets', 'Ajit', 'Singh', 'the', 'son', 'of', '...', 'See', 'full', 'summary', '»', 'action', 'crime', 'drama', 'action', 'crime', 'drama', 'amitabhbachchan', 'jayaprada', 'radhikasarathkumar', 'sureshoberoi', 'k.c.bokadia']"
tt1343362,Do Knot Disturb,"Govinda, Sushmita Sen, Riteish Deshmukh, Lara Dutta","['comedy', 'drama']","['A', 'man', 'and', 'a', 'woman', 'have', 'to', 'pretend', 'to', 'be', 'a', 'couple', 'in', 'order', 'to', 'salvage', 'a', ""CEO's"", 'marriage.', 'comedy', 'drama', 'comedy', 'drama', 'govinda', 'sushmitasen', 'riteishdeshmukh', 'laradutta', 'daviddhawan']"
tt8698956,Lupt,"Jaaved Jaaferi, Niki Walia, Vijay Raaz, Rishab Chadha","['horror', 'thriller']","['Haunted', 'by', 'disturbing', 'visions,', 'a', 'workaholic', 'takes', 'a', 'vacation', 'with', 'his', 'family,', 'but', 'a', 'detour', 'leads', 'them', 'to', 'an', 'unsettling', 'stranger', 'and', 'chilling', 'events.', 'horror', 'thriller', 'horror', 'thriller', 'jaavedjaaferi', 'nikiwalia', 'vijayraaz', 'rishabchadha', 'prabhuraj']"
tt8992946,Cargo,"Vikrant Massey, Shweta Tripathi, Nandu Madhav, Konkona Sen Sharma","['drama', 'fantasy', 'sci-fi']","['A', 'young', 'female', 'astronaut,', 'who', 'joins', 'a', 'reclusive', 'astronaut', 'aboard', 'a', 'spaceship,', 'struggles', 'with', 'her', 'job', 'as', 'she', 'interacts', 'with', 'mysterious', 'Cargos', 'that', 'appear', 'on', 'the', 'ship.', 'drama', 'fantasy', 'sci-fi', 'drama', 'fantasy', 'sci-fi', 'vikrantmassey', 'shwetatripathi', 'nandumadhav', 'konkonasensharma', 'aratikadav']"
tt0248428,Shiva,"Nagarjuna Akkineni, Amala Akkineni, Raghuvaran, J.D. Chakravarthi","['action', 'crime', 'drama']","['Shiva', 'is', 'disgusted', 'by', 'the', 'corruption', 'in', 'and', 'around', 'his', 'new', 'college,', 'and', 'along', 'with', 'his', 'friends,', 'he', 'decides', 'to', 'take', 'a', 'stand', 'against', 'the', 'status', 'quo.', 'action', 'crime', 'drama', 'action', 'crime', 'drama', 'nagarjunaakkineni', 'amalaakkineni', 'raghuvaran', 'j.d.chakravarthi', 'ramgopalvarma']"
tt0976026,Cheeni Kum,"Amitabh Bachchan, Tabu, Paresh Rawal, Zohra Sehgal","['comedy', 'drama', 'romance']","['An', 'egotistical', '64-year-old', 'chef', 'and', 'confirmed', 'bachelor', 'falls', 'for', 'a', 'woman', '30', 'years', 'his', 'junior.', 'comedy', 'drama', 'romance', 'comedy', 'drama', 'romance', 'amitabhbachchan', 'tabu', 'pareshrawal', 'zohrasehgal', 'r.balki']"
tt2798620,Chhota Bheem and the Curse of Damyaan,"Jigna Bhardwaj, Chutki, Kaustav Ghosh, Rajesh Kava","['animation', 'adventure', 'fantasy']","['Bheem', 'and', 'his', 'friend', 'should', 'destroy', 'damyaan', 'along', 'with', '(the', 'book', 'of', 'magi)', 'to', 'free', 'them', 'from', 'his', 'prison', 'and', 'to', 'save', 'their', 'city', 'animation', 'adventure', 'fantasy', 'animation', 'adventure', 'fantasy', 'jignabhardwaj', 'chutki', 'kaustavghosh', 'rajeshkava', 'rajivchilaka']"
tt1185412,Veer,"Salman Khan, Jackie Shroff, Mithun Chakraborty, Zareen Khan","['action', 'adventure', 'drama']","['Prithvi', 'seeks', 'revenge', 'on', 'Gyanendra', 'Singh', 'and', 'the', 'British.', 'He', 'sends', 'his', 'son', 'Veer', 'to', 'Britain', 'to', 'study', 'their', 'plans.', 'Veer', 'kills', ""Gyanendra's"", 'son', 'but', 'ends', 'up', 'falling', 'in', 'love', 'with', 'his', 'daughter.', 'action', 'adventure', 'drama', 'action', 'adventure', 'drama', 'salmankhan', 'jackieshroff', 'mithunchakraborty', 'zareenkhan', 'anilsharma']"
